weeks_cols,lockdown,is_covid19
2019-02-21,0,0
2019-02-28,0,0
2019-03-07,0,0
2019-03-14,0,0
2019-03-21,0,0
2019-03-28,0,0
2019-04-04,0,0
2019-04-11,0,0
2019-04-18,0,0
2019-05-16,0,0
2019-05-23,0,0
2019-05-30,0,0
2019-06-06,0,0
2019-06-13,0,0
2019-06-20,0,0
2019-06-27,0,0
2019-07-04,0,0
2019-07-11,0,0
2019-07-18,0,0
2019-07-25,0,0
2019-08-01,0,0
2019-08-08,0,0
2019-08-15,0,0
2019-08-22,0,0
2019-08-29,0,0
2019-09-05,0,0
2019-09-12,0,0
2019-09-19,0,0
2019-10-03,0,0
2019-10-10,0,0
2019-10-17,0,0
2019-10-24,0,0
2019-11-07,0,0
2019-11-14,0,0
2019-11-21,0,0
2019-11-28,0,0
2019-12-05,0,0
2019-12-12,0,0
2019-12-19,0,0
2020-01-02,0,0
2020-01-09,0,0
2020-01-16,0,0
2020-01-23,0,0
2020-01-30,0,0
2020-02-06,0,0
2020-02-13,0,0
2020-02-20,0,0
2020-02-27,0,0
2020-03-05,0,1
2020-03-12,0,1
2020-03-19,0,1
2020-03-26,1,1
2020-04-02,1,1
2020-04-16,1,1
2020-04-23,0,1
2020-04-30,0,1
2020-05-07,0,1
2020-05-14,0,1
2020-05-21,0,1
2020-06-04,0,1
2020-06-11,0,1
2020-06-18,0,1
2020-06-28,0,1
2020-07-09,0,1
2020-07-16,0,1
2020-07-23,0,1
2020-08-20,0,1
2020-08-27,0,1
2020-09-03,0,1
2020-09-24,2,1
2020-10-01,2,1
2020-10-08,0,1
2020-10-22,0,1
2020-11-05,0,1
2020-11-19,0,1
2020-11-26,0,1
2020-12-03,0,1
2020-12-17,0,1
2020-12-24,3,1
2021-01-07,3,1
2021-01-14,3,1
2021-01-21,3,1
2021-01-28,3,1
2021-02-11,0,1
2021-02-18,0,1
2021-02-25,0,1
